tax_id,Order,Family,Species,Density_log10,SD_log10,Q2.5_log10,Q5_log10,Q25_log10,Q75_log10,Q95_log10,Q97.5_log10,Predicted_Density_n_km2,Q2.5,Q5,Q25,Q75,Q95,Q97.5
22690241,Columbiformes,Columbidae,Patagioenas_squamosa,0.999774435,0.514338398,-0.006591479,0.15321536,0.653479467,1.346131173,1.844341132,2.0054185,9.995,0.985,1.423,4.503,22.189,69.878,101.255
22690328,Columbiformes,Columbidae,Patagioenas_subvinacea,0.942941005,0.538629649,-0.110270217,0.05794506,0.579951503,1.305796479,1.828612022,1.997163737,8.769,0.776,1.143,3.801,20.221,67.393,99.349
22690695,Columbiformes,Columbidae,Petrophassa_albipennis,0.710086489,0.541770878,-0.351962972,-0.181061744,0.345970285,1.075038156,1.60153504,1.769885678,5.13,0.445,0.659,2.218,11.886,39.952,58.869
22690700,Columbiformes,Columbidae,Petrophassa_rufipennis,0.725717044,0.534020218,-0.319361138,-0.149089067,0.365856589,1.084946653,1.608732558,1.780168012,5.318,0.479,0.709,2.322,12.16,40.619,60.279
60543351,Columbiformes,Columbidae,Phapitreron_amethystinus,1.134593776,0.516491076,0.129806564,0.287587459,0.787140036,1.48194212,1.98145531,2.143830492,13.633,1.348,1.939,6.125,30.335,95.82,139.261
22724523,Columbiformes,Columbidae,Phapitreron_brunneiceps,1.152087642,0.517435346,0.139703657,0.302650383,0.805871258,1.499951808,2.002649893,2.165851955,14.193,1.379,2.007,6.395,31.619,100.612,146.505
22691121,Columbiformes,Columbidae,Phapitreron_cinereiceps,1.185707683,0.51226809,0.184106174,0.3290136,0.839469148,1.525897736,2.008949736,2.174998008,15.336,1.528,2.133,6.91,33.566,102.082,149.623
22727826,Columbiformes,Columbidae,Phapitreron_leucotis,1.208662232,0.51585231,0.197427867,0.359369828,0.862587344,1.558023849,2.053553113,2.215262436,16.168,1.576,2.288,7.288,36.143,113.124,164.158
22690667,Columbiformes,Columbidae,Phaps_chalcoptera,0.840999163,0.516639028,-0.168420921,-0.008685087,0.492169983,1.190551458,1.69027401,1.849450309,6.934,0.679,0.98,3.106,15.508,49.009,70.705
22690670,Columbiformes,Columbidae,Phaps_elegans,0.902572364,0.516309916,-0.110646993,0.052612919,0.555231874,1.250324995,1.749370444,1.909840123,7.99,0.775,1.129,3.591,17.796,56.153,81.253
22690673,Columbiformes,Columbidae,Phaps_histrionica,0.71425381,0.525139057,-0.312929085,-0.148950962,0.360495505,1.068420982,1.576315678,1.740036507,5.179,0.486,0.71,2.293,11.706,37.698,54.959
22691568,Columbiformes,Columbidae,Ptilinopus_arcanus,1.210362311,0.51796505,0.188030701,0.378140744,0.876668724,1.55517075,2.062930255,2.25832847,16.232,1.542,2.389,7.528,35.906,115.593,181.271
22691391,Columbiformes,Columbidae,Ptilinopus_aurantiifrons,1.18229965,0.518566563,0.168111573,0.331879483,0.833153149,1.531360768,2.03296103,2.194292439,15.216,1.473,2.147,6.81,33.991,107.885,156.42
22691362,Columbiformes,Columbidae,Ptilinopus_bernsteinii,1.245646593,0.512834998,0.219834851,0.395288853,0.899355579,1.594351573,2.079675066,2.227338337,17.605,1.659,2.485,7.932,39.296,120.137,168.787
22691485,Columbiformes,Columbidae,Ptilinopus_chalcurus,1.156913947,0.511323077,0.183565332,0.340343823,0.820468217,1.484956779,2.040075337,2.192826875,14.352,1.526,2.189,6.614,30.546,109.667,155.893
22691302,Columbiformes,Columbidae,Ptilinopus_cinctus,1.023443752,0.513828407,0.014575991,0.195417127,0.674997107,1.359879466,1.869984611,2.028760897,10.555,1.034,1.568,4.731,22.902,74.128,106.847
22691480,Columbiformes,Columbidae,Ptilinopus_coralensis,1.208044321,0.537442301,0.154902824,0.280387156,0.84570972,1.594830929,2.050064947,2.224354821,16.145,1.429,1.907,7.01,39.34,112.219,167.631
22691420,Columbiformes,Columbidae,Ptilinopus_coronulatus,1.277538522,0.516930494,0.266209835,0.430625973,0.929298814,1.625423187,2.127396833,2.291329982,18.947,1.846,2.695,8.498,42.211,134.09,195.582
22691307,Columbiformes,Columbidae,Ptilinopus_dohertyi,1.040514808,0.514004721,0.048762826,0.220703097,0.697835896,1.380529556,1.891173086,2.075980252,10.978,1.119,1.662,4.987,24.018,77.835,119.119
22691500,Columbiformes,Columbidae,Ptilinopus_dupetithouarsii,1.188746287,0.509048117,0.185828886,0.374454473,0.843931572,1.540809394,2.053766037,2.169060728,15.444,1.534,2.368,6.981,34.738,113.179,147.591
