COMMON_NAME,area_square_miles,Estimate,Lower,Upper
Forty-spotted Pardalote,182.995955,1250,1000,1500
Plain Pigeon,19666.96058,2550,1000,4100
Helmeted Curassow,15491.38423,1750,1000,2499
Horned Curassow,3272.633932,3000,1000,4999
Manipur Bush-Quail,19521.43761,1750,1000,2499
Striated Caracara,9193.96286,1750,1000,2499
Iphis Monarch,31.43554058,1750,1000,2499
Green Racquet-tail,36107.8221,1750,1000,2499
Swierstra's Francolin,7131.660597,1750,1000,2499
Bogota Rail,281.270479,1750,1000,2499
Sierra Leone Prinia,6708.662875,1750,1000,2499
Andaman Serpent-Eagle,1923.106699,2500,1000,4000
Botha's Lark,21384.45034,1750,1000,2499
Bahama Swallow,3128.86085,1750,1000,2499
Green-capped Tanager,4252.751016,1750,1000,2499
Zapata Sparrow,1763.731216,1750,1000,2499
Golden-winged Laughingthrush,59.58437357,1750,1000,2499
Baird's Trogon,4833.231322,3000,1000,5000
Samoan White-eye,201.4050591,1750,1000,2499
Snares Island Snipe,1.000948274,1750,1000,2499
New Zealand Grebe,33788.86335,1300,1200,1400
Hinde's Pied-Babbler,5330.914808,2875,1250,4500
Madagascar Pond-Heron,213.194019,2650,1300,4000
Rufous-fronted Parakeet,1213.667412,2000,1300,2700
Javan Plover,42458.49791,2650,1300,4000
Anambra Waxbill,16964.65882,1800,1300,2300
Hawaiian Coot,443.3971224,2000,1300,2700
Ogea Monarch,6.349426756,1650,1300,2000
Micronesian Scrubfowl,323.6877644,1500,1300,1700
White-breasted Thrasher,9.388569846,1350,1300,1400
Sierra Madre Sparrow,27.05885875,5650,1300,9999
Nicobar Jungle-Flycatcher,422.4562855,7375,1450,13300
New Caledonia Goshawk,6328.028791,4250,1500,7000
Cape Verde Swamp Warbler,511.3727355,1750,1500,2000
Venezuelan Sylph,1603.768962,4250,1500,7000
Wetar Ground-Dove,10792.00973,4250,1500,7000
Mangrove Hummingbird,502.6090353,4250,1500,7000
Golden-fronted Bowerbird,377.7060834,4250,1500,7000
Banded Sunbird,2738.346851,4250,1500,7000
White-winged Apalis,7566.692922,4250,1500,7000
Orange-necked Partridge,1724.090287,4250,1500,7000
Black-spectacled Brushfinch,1189.026524,1600,1500,1700
Southern Silvery-Kingfisher,37333.52304,4250,1500,7000
Northern Screamer,35268.64411,4250,1500,7000
Black-throated Shrikebill,6543.538134,4250,1500,7000
White-necked Crow,3197.239032,4250,1500,7000
Bay-vented Cotinga,5026.835158,4250,1500,7000
Bicolored Antvireo,6180.661089,4250,1500,7000
Yellow-rumped Antwren,9374.972739,4250,1500,7000
Gray-fronted Quail-Dove,8982.968024,4250,1500,7000
Moustached Antpitta,3431.124485,4250,1500,7000
Brown-banded Antpitta,4770.319333,4250,1500,7000
Bicolored Antpitta,3696.090048,4250,1500,7000
Hooded Antpitta,5967.899959,4250,1500,7000
Amani Sunbird,333.6735119,4250,1500,7000
Buff-breasted Tody-Tyrant,27582.77033,4250,1500,7000
Nava's Wren,1026.078515,4250,1500,7000
Bougainville Thicketbird,314.3083817,4250,1500,7000
Samoan Flycatcher,1110.913044,4250,1500,7000
Band-tailed Antwren,1171.066072,4250,1500,7000
Jamaican Blackbird,667.1470414,4250,1500,7000
Togian Boobook,168.1835833,4250,1500,7000
Taczanowski's Tinamou,6843.263245,4250,1500,7000
Venezuelan Wood-Quail,3611.48664,4250,1500,7000
Rufous-headed Chachalaca,28789.80944,4250,1500,7000
Black-breasted Parrotbill,14283.32762,4250,1500,7000
Hainan Leaf Warbler,5096.362576,4250,1500,7000
White-masked Antbird,83.2080637,4250,1500,7000
Malayan Peacock-Pheasant,45078.08233,4250,1500,7000
Tucuman Mountain-Finch,1452.478552,4250,1500,7000
Luzon Racquet-tail,4019.966345,4250,1500,7000
Blue-headed Racquet-tail,5244.757873,4250,1500,7000
Hispaniolan Parakeet,5206.010038,4250,1500,7000
Cuban Parakeet,7229.241138,4250,1500,7000
White-necked Parakeet,3043.393492,4250,1500,7000
Plain-pouched Hornbill,27907.27386,4250,1500,7000
Solomons Frogmouth,6447.101659,4250,1500,7000
Magdalena Tapaculo,192.9652627,4250,1500,7000
Rusty-throated Wren-Babbler,424.128461,4250,1500,7000
Red Siskin,1255.213656,4250,1500,7000
Saffron Siskin,7062.3304,4250,1500,7000
Golden Swallow,3094.292141,4250,1500,7000
Azure-rumped Tanager,1741.944606,4250,1500,7000
Bannerman's Turaco,763.938132,4250,1500,7000
Fischer's Turaco,18785.93086,4250,1500,7000
Laysan Finch,1.317795564,4250,1500,7000
Black Tinamou,11081.7532,4250,1500,7000
New Britain Kingfisher,11589.0256,4250,1500,7000
Slaty Cuckoo-Dove,12214.1404,4250,1500,7000
Tristan Thrush,47.69992423,4250,1500,7000
La Selle Thrush,1647.142073,4250,1500,7000
San Andres Vireo,6.5269741,4250,1500,7000
White-winged Warbler,2516.39512,4250,1500,7000
Van Dam's Vanga,1984.828997,4250,1500,7000
New Britain Thrush,1014.672937,4250,1500,7000
Comoro White-eye,27.68374019,4250,1500,7000
Comoro Pigeon,794.4076138,4250,1500,7000
Sokoke Pipit,874.5743189,2500,1600,3400
Seychelles Swiftlet,79.23610758,1850,1700,2000
Yellow-shouldered Parrot,1516.511896,3650,1700,5600
Rudd's Lark,8429.471563,2500,1700,3300
White-throated Barbtail,569.1802512,4350,1700,7000
Madagascar Plover,5586.676438,2050,1800,2300
Chatham Islands Snipe,1.803364523,2000,1800,2200
Ecuadorian Tapaculo,438.4664008,3450,1900,5000
Saipan Reed Warbler,52.0875502,2250,2000,2499
Rodrigues Warbler,1.054880183,2350,2000,2700
Red-crowned Parrot,3029.535223,3150,2000,4300
Whistling Warbler,32.08960468,2650,2000,3300
Cheer Pheasant,57400.21164,2350,2000,2700
Rufous-throated Dipper,43637.38149,2350,2000,2700
Laurel Pigeon,467.4140978,3500,2000,5000
Antipodes Parakeet,8.751225414,2500,2000,3000
Clarke's Weaver,272.8365826,3000,2000,4000
Udzungwa Partridge,221.1589573,2350,2000,2700
Peruvian Plantcutter,1106.625466,6100,2200,9999
Anjouan Scops-Owl,104.9028779,2950,2300,3600
Nihoa Finch,0.599994787,3000,2400,3600
Nicobar Sparrowhawk,126.5779864,3750,2500,5000
Moluccan Goshawk,8796.082838,6250,2500,9999
New Britain Goshawk,4459.311581,6250,2500,9999
Javan Myna,50512.05977,6250,2500,9999
Pink-legged Graveteiro,1424.533989,6250,2500,9999
Kiritimati Reed Warbler,177.8508703,6250,2500,9999
Blue-capped Kingfisher,9542.181286,6250,2500,9999
Mariana Swiftlet,267.2671151,6250,2500,9999
Black-cheeked Lovebird,5538.069871,6250,2500,9999
Shy Ground-Dove,8189.068874,6250,2500,9999
Talaud Bush-hen,325.2621711,6250,2500,9999
Red-browed Parrot,1031.874579,6250,2500,9999
Palawan Hornbill,5164.086963,6250,2500,9999
Nilgiri Pipit,4460.74531,6250,2500,9999
Forbes's Blackbird,43.37318798,6250,2500,9999
Florida Scrub-Jay,2676.919397,6250,2500,9999
Snoring Rail,32095.14993,6250,2500,9999
Chestnut-necklaced Partridge,43186.82307,6250,2500,9999
Ochraceous Attila,2154.354568,6250,2500,9999
Blue-and-gold Tanager,3642.663077,6250,2500,9999
White-bearded Antshrike,9225.182964,6250,2500,9999
Andaman Bulbul,1234.080607,6250,2500,9999
Knysna Warbler,3407.444318,6250,2500,9999
White-necked Hawk,54053.64848,6250,2500,9999
Selva Cacique,17530.49978,6250,2500,9999
Itombwe Nightjar,835.7727305,6250,2500,9999
Black-headed Berryeater,26211.74775,6250,2500,9999
Green-billed Coucal,4679.643517,6250,2500,9999
Sunda Coucal,10836.8448,6250,2500,9999
Sula Dwarf-Kingfisher,1806.37261,6250,2500,9999
Bismarck Kingfisher,5299.25645,6250,2500,9999
Bristled Grassbird,44805.04669,6250,2500,9999
Cholo Alethe,1799.626765,6250,2500,9999
Black-fronted Tern,36015.32752,6250,2500,9999
Prigogine's Greenbul,335.3626944,6250,2500,9999
Javan Flameback,7420.511588,6250,2500,9999
Jerdon's Babbler,18280.53108,6250,2500,9999
Henna-hooded Foliage-gleaner,7196.911304,6250,2500,9999
Rondonia Bushbird,13879.02052,6250,2500,9999
Javan Cochoa,3276.203217,6250,2500,9999
Sumatran Cochoa,24845.28913,6250,2500,9999
Nilgiri Wood-Pigeon,44955.52803,6250,2500,9999
Yellow-legged Pigeon,19791.99498,6250,2500,9999
Andaman Wood-Pigeon,2941.403738,6250,2500,9999
Andaman Cuckooshrike,2008.854216,6250,2500,9999
Turquoise Dacnis,5689.654899,6250,2500,9999
Spot-throated Flameback,5075.145518,6250,2500,9999
Mexican Sheartail,1122.892812,6250,2500,9999
Baker's Imperial-Pigeon,1593.238174,6250,2500,9999
Plumbeous Antvireo,16395.22027,6250,2500,9999
Slaty Egret,42500.0427,2900,2500,3300
Black Sicklebill,31141.65263,6250,2500,9999
Pink-billed Parrotfinch,1857.763251,6250,2500,9999
New Zealand Falcon,57345.05803,6250,2500,9999
Lompobattang Flycatcher,316.2873509,6250,2500,9999
Chapin's Flycatcher,14442.05713,6250,2500,9999
Calayan Rail,26.221905,3400,2500,4300
Sumatran Laughingthrush,25905.87216,6250,2500,9999
Ashy-headed Laughingthrush,6066.218735,6250,2500,9999
Oberländer's Ground-Thrush,20257.11618,6250,2500,9999
Biak Gerygone,974.6218101,6250,2500,9999
Albertine Owlet,12506.49394,6250,2500,9999
Western Crowned-Pigeon,31096.1309,6250,2500,9999
Scheepmaker's Crowned-Pigeon,6057.574708,6250,2500,9999
Santa Marta Antpitta,1950.780566,6250,2500,9999
Great Antpitta,3249.914234,6250,2500,9999
Blue-faced Rail,18805.38761,6250,2500,9999
Rusty-faced Parrot,10214.31723,6250,2500,9999
Munchique Wood-Wren,742.27722,6250,2500,9999
White-tailed Swallow,5728.607377,6250,2500,9999
Masked Antpitta,71.48333585,6250,2500,9999
Red-bellied Grackle,1494.905345,6250,2500,9999
Grand Comoro Bulbul,398.2420875,6250,2500,9999
Streak-breasted Bulbul,1937.648142,6250,2500,9999
