"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"888","Black-thighed Grosbeak",7569.74059,"X","X","X","Pheucticus tibialis","Passeriformes","Cardinalidae (Cardinals and Allies)",9,818,76939,TRUE,FALSE
"889","Black-thighed Puffleg",9473.074058,NA,NA,NA,"Eriocnemis derbyi","Caprimulgiformes","Trochilidae (Hummingbirds)",20,1778,149301,TRUE,FALSE
"890","Black-throated Accentor",193766.7312,NA,NA,NA,"Prunella atrogularis","Passeriformes","Prunellidae (Accentors)",11294,1030554,83690305,TRUE,FALSE
"891","Black-throated Antbird",2625789.193,NA,NA,NA,"Myrmophylax atrothorax","Passeriformes","Thamnophilidae (Typical Antbirds)",29722,2537760,228270630,TRUE,FALSE
"892","Black-throated Antshrike",489151.8893,NA,NA,NA,"Frederickena viridis","Passeriformes","Thamnophilidae (Typical Antbirds)",2005,190945,18558971,TRUE,FALSE
"893","Black-throated Apalis",208883.4352,NA,NA,NA,"Apalis jacksoni","Passeriformes","Cisticolidae (Cisticolas and Allies)",9449,799684,70599551,TRUE,FALSE
"894","Black-throated Babbler",65902.41239,NA,NA,NA,"Stachyris nigricollis","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",1560,152623,13199314,TRUE,FALSE
"895","Black-throated Barbet",760238.8353,NA,NA,NA,"Tricholaema melanocephala","Piciformes","Lybiidae (African Barbets)",4635,407336,37276843,TRUE,FALSE
"896","Black-throated Brilliant",275304.5777,NA,NA,NA,"Heliodoxa schreibersii","Caprimulgiformes","Trochilidae (Hummingbirds)",1464,119195,10940338,FALSE,FALSE
"897","Black-throated Canary",1161985.59,NA,NA,NA,"Crithagra atrogularis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",45568,4291076,379176409,TRUE,FALSE
"898","Black-throated Coucal",515630.7743,NA,NA,NA,"Centropus leucogaster","Cuculiformes","Cuculidae (Cuckoos)",2081,186006,18666494,TRUE,FALSE
"899","Black-throated Flowerpiercer",122727.0006,NA,NA,NA,"Diglossa brunneiventris","Passeriformes","Thraupidae (Tanagers and Allies)",11667,963999,92398695,FALSE,FALSE
"900","Black-throated Grosbeak",313412.8867,NA,NA,NA,"Saltator fuliginosus","Passeriformes","Thraupidae (Tanagers and Allies)",6764,607454,55910426,FALSE,FALSE
"901","Black-throated Hermit",320130.3958,NA,NA,NA,"Phaethornis atrimentalis","Caprimulgiformes","Trochilidae (Hummingbirds)",2110,194660,17166238,FALSE,FALSE
"902","Black-throated Honeyeater",51223.99582,NA,NA,NA,"Caligavis subfrenata","Passeriformes","Meliphagidae (Honeyeaters)",1842,172145,16616868,TRUE,FALSE
"903","Black-throated Huet-huet",106202.5532,NA,NA,NA,"Pteroptochos tarnii","Passeriformes","Rhinocryptidae (Tapaculos)",1361,130627,11397256,TRUE,FALSE
"904","Black-throated Jay",39831.36849,"X","X","X","Cyanolyca pumilo","Passeriformes","Corvidae (Crows, Jays, and Magpies)",1116,92856,7841462,FALSE,FALSE
"905","Black-throated Malimbe",363172.0297,NA,NA,NA,"Malimbus cassini","Passeriformes","Ploceidae (Weavers and Allies)",2985,244130,22791560,TRUE,FALSE
"906","Black-throated Munia",54035.96714,NA,NA,NA,"Lonchura kelaarti","Passeriformes","Estrildidae (Waxbills and Allies)",4985,449690,43255609,FALSE,FALSE
"907","Black-throated Parrotbill",158624.7974,NA,NA,NA,"Suthora nipalensis","Passeriformes","Paradoxornithidae (Parrotbills, Wrentit, and Allies)",8534,757502,62132698,FALSE,FALSE
"908","Black-throated Prinia",34806.58584,"X","X","X","Prinia atrogularis","Passeriformes","Cisticolidae (Cisticolas and Allies)",1084,99933,8957986,FALSE,FALSE
"909","Black-throated Shrike-Tanager",95842.00461,NA,NA,NA,"Lanio aurantius","Passeriformes","Thraupidae (Tanagers and Allies)",627,56801,4634034,FALSE,FALSE
"910","Black-throated Shrikebill",6543.538134,NA,NA,NA,"Clytorhynchus nigrogularis","Passeriformes","Monarchidae (Monarch Flycatchers)",321,32610,2830084,TRUE,TRUE
"911","Black-throated Sparrow",620070.1137,NA,NA,NA,"Amphispiza bilineata","Passeriformes","Passerellidae (New World Sparrows)",1490591,70333300,3511553464,FALSE,TRUE
"912","Black-throated Spinetail",781.6578636,NA,NA,NA,"Synallaxis castanea","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",2,207,19628,TRUE,FALSE
"913","Black-throated Sunbird",648551.6697,NA,NA,NA,"Aethopyga saturata","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",12013,1076633,91354845,TRUE,FALSE
"914","Black-throated Thistletail",9208.146682,NA,NA,NA,"Asthenes harterti","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",26,2454,217030,TRUE,FALSE
"915","Black-throated Tit",1080117.797,NA,NA,NA,"Aegithalos concinnus","Passeriformes","Aegithalidae (Long-tailed Tits)",146656,12272237,1058542429,TRUE,FALSE
"916","Black-throated Tody-Tyrant",106856.6332,NA,NA,NA,"Hemitriccus granadensis","Passeriformes","Tyrannidae (Tyrant Flycatchers)",3424,263297,25756972,FALSE,FALSE
"917","Black-throated Trogon",2573835.141,NA,NA,NA,"Trogon rufus","Trogoniformes","Trogonidae (Trogons)",12312,1148574,113816377,TRUE,FALSE
"918","Black-throated Wattle-eye",1397858.995,NA,NA,NA,"Platysteira peltata","Passeriformes","Platysteiridae (Wattle-eyes and Batises)",5780,596540,52554919,TRUE,FALSE
"919","Black-throated Wren",13345.96085,NA,NA,NA,"Pheugopedius atrogularis","Passeriformes","Troglodytidae (Wrens)",2244,194627,18099703,FALSE,FALSE
"920","Black-throated Wren-Babbler",29879.42416,NA,NA,NA,"Turdinus atrigularis","Passeriformes","Pellorneidae (Ground Babblers and Allies)",304,28256,2548588,FALSE,FALSE
"921","Black-tipped Monarch",3074.841065,"X","X","X","Symposiachrus loricatus","Passeriformes","Monarchidae (Monarch Flycatchers)",34,3049,278730,TRUE,FALSE
"922","Black-vented Oriole",266589.1245,NA,NA,NA,"Icterus wagleri","Passeriformes","Icteridae (Troupials and Allies)",12127,992747,93519947,FALSE,FALSE
"923","Black-vented Shearwater",727325.4209,NA,NA,NA,"Puffinus opisthomelas","Procellariiformes","Procellariidae (Shearwaters and Petrels)",82980,6396376,549755928,FALSE,FALSE
"924","Black-whiskered Vireo",32467.69086,NA,NA,NA,"Vireo altiloquus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",119351,10119515,824122430,FALSE,TRUE
"925","Black-winged Bishop",1970648.275,NA,NA,NA,"Euplectes hordeaceus","Passeriformes","Ploceidae (Weavers and Allies)",33170,3014981,250838026,TRUE,FALSE
"926","Black-winged Cuckooshrike",644507.9464,NA,NA,NA,"Lalage melaschistos","Passeriformes","Campephagidae (Cuckooshrikes)",13760,1223215,120625244,TRUE,FALSE
