"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"5972","Silver-eared Mesia",499030.6244,NA,NA,NA,"Leiothrix argentauris","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)",18023,1588812,166982133,FALSE,FALSE
"5973","Silver-rumped Needletail",464840.9088,NA,NA,NA,"Rhaphidura leucopygialis","Caprimulgiformes","Apodidae (Swifts)",20462,1919461,170554687,TRUE,FALSE
"5974","Silver-throated Tanager",29020.84878,"X","X","X","Tangara icterocephala","Passeriformes","Thraupidae (Tanagers and Allies)",13813,1218031,114929402,FALSE,FALSE
"5975","Silver-throated Tit",692809.5034,NA,NA,NA,"Aegithalos glaucogularis","Passeriformes","Aegithalidae (Long-tailed Tits)",31823,3378121,332672801,TRUE,FALSE
"5976","Silver-tipped Imperial-Pigeon",55986.61879,NA,NA,NA,"Ducula luctuosa","Columbiformes","Columbidae (Pigeons and Doves)",10850,941537,77752463,TRUE,FALSE
"5977","Silverbird",255838.1113,NA,NA,NA,"Melaenornis semipartitus","Passeriformes","Muscicapidae (Old World Flycatchers)",2341,236455,21398134,TRUE,FALSE
"5978","Silvered Antbird",2008822.307,NA,NA,NA,"Sclateria naevia","Passeriformes","Thamnophilidae (Typical Antbirds)",13476,1241315,117830266,TRUE,FALSE
"5979","Silvery Grebe",617127.1823,NA,NA,NA,"Podiceps occipitalis","Podicipediformes","Podicipedidae (Grebes)",100636,7914005,596944799,TRUE,FALSE
"5980","Silvery Tanager",39480.35801,NA,NA,NA,"Tangara viridicollis","Passeriformes","Thraupidae (Tanagers and Allies)",5426,483438,38694951,FALSE,FALSE
"5981","Silvery-cheeked Antshrike",440550.8311,NA,NA,NA,"Sakesphorus cristatus","Passeriformes","Thamnophilidae (Typical Antbirds)",16771,1683873,143254113,FALSE,FALSE
"5982","Silvery-cheeked Hornbill",322161.1915,NA,NA,NA,"Bycanistes brevis","Bucerotiformes","Bucerotidae (Hornbills)",7793,744328,64415070,TRUE,FALSE
"5983","Silvery-throated Jay",1515.29083,NA,NA,NA,"Cyanolyca argentigula","Passeriformes","Corvidae (Crows, Jays, and Magpies)",0,43,4320,TRUE,FALSE
"5984","Silvery-throated Spinetail",5859.743445,"X","X","X","Synallaxis subpudica","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",69,6376,573399,TRUE,FALSE
"5985","Simeulue Scops-Owl",599.3791225,NA,NA,NA,"Otus umbra","Strigiformes","Strigidae (Owls)",1,110,9217,TRUE,FALSE
"5986","Simple Greenbul",1545882.426,NA,NA,NA,"Chlorocichla simplex","Passeriformes","Pycnonotidae (Bulbuls)",18868,1785057,174651889,TRUE,FALSE
"5987","Sinai Rosefinch",66708.25806,NA,NA,NA,"Carpodacus synoicus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",5838,485188,40685675,TRUE,FALSE
"5988","Sinaloa Crow",36718.66339,"X","X","X","Corvus sinaloae","Passeriformes","Corvidae (Crows, Jays, and Magpies)",33516,2564697,209537266,FALSE,FALSE
"5989","Sinaloa Wren",117732.6129,NA,NA,NA,"Thryophilus sinaloa","Passeriformes","Troglodytidae (Wrens)",24159,2179411,198360845,FALSE,FALSE
"5990","Sincora Antwren",1357.856315,NA,NA,NA,"Formicivora grantsaui","Passeriformes","Thamnophilidae (Typical Antbirds)",15,1173,114867,TRUE,FALSE
"5991","Sind Sparrow",202655.1046,NA,NA,NA,"Passer pyrrhonotus","Passeriformes","Passeridae (Old World Sparrows)",5040,441803,42677546,TRUE,FALSE
"5992","Sind Woodpecker",233277.4685,NA,NA,NA,"Dendrocopos assimilis","Piciformes","Picidae (Woodpeckers)",139,12703,1175692,TRUE,FALSE
"5993","Singing Cisticola",2189558.752,NA,NA,NA,"Cisticola cantans","Passeriformes","Cisticolidae (Cisticolas and Allies)",20775,1772076,147410635,TRUE,FALSE
"5994","Singing Honeyeater",2821120.632,NA,NA,NA,"Gavicalis virescens","Passeriformes","Meliphagidae (Honeyeaters)",119786,10113602,995065931,TRUE,FALSE
"5995","Singing Parrot",30414.644,NA,NA,NA,"Geoffroyus heteroclitus","Psittaciformes","Psittaculidae (Old World Parrots)",8927,835513,66930251,TRUE,FALSE
"5996","Singing Quail",190228.6257,NA,NA,NA,"Dactylortyx thoracicus","Galliformes","Odontophoridae (New World Quail)",3601,312044,27692333,FALSE,FALSE
"5997","Singing Starling",317665.5947,NA,NA,NA,"Aplonis cantoroides","Passeriformes","Sturnidae (Starlings)",30959,2640957,241310333,TRUE,FALSE
"5998","Sira Tanager",1409.687278,NA,NA,NA,"Tangara phillipsi","Passeriformes","Thraupidae (Tanagers and Allies)",0,14,1267,TRUE,FALSE
"5999","Sirkeer Malkoha",1008744.272,NA,NA,NA,"Taccocua leschenaultii","Cuculiformes","Cuculidae (Cuckoos)",2335,203724,19113179,TRUE,FALSE
"6000","Slate-colored Antbird",203155.994,NA,NA,NA,"Myrmelastes schistaceus","Passeriformes","Thamnophilidae (Typical Antbirds)",2784,255810,23633273,FALSE,FALSE
"6001","Slate-colored Boubou",445032.8243,NA,NA,NA,"Laniarius funebris","Passeriformes","Malaconotidae (Bushshrikes and Allies)",11591,1062575,102478035,TRUE,FALSE
"6002","Slate-colored Coot",229573.1065,NA,NA,NA,"Fulica ardesiaca","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",100675,8931817,736778273,FALSE,FALSE
"6003","Slate-colored Hawk",1406458.743,NA,NA,NA,"Buteogallus schistaceus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",10472,937235,82093418,TRUE,FALSE
"6004","Slate-colored Seedeater",601488.5502,NA,NA,NA,"Sporophila schistacea","Passeriformes","Thraupidae (Tanagers and Allies)",4214,369777,32653486,FALSE,FALSE
"6005","Slate-colored Solitaire",71106.77194,NA,NA,NA,"Myadestes unicolor","Passeriformes","Turdidae (Thrushes and Allies)",6237,557391,49165750,FALSE,FALSE
"6006","Slate-crowned Antpitta",103369.7852,NA,NA,NA,"Grallaricula nana","Passeriformes","Grallariidae (Antpittas)",791,71970,5889646,FALSE,FALSE
"6007","Slate-throated Gnatcatcher",55795.92885,"X","X","X","Polioptila schistaceigula","Passeriformes","Polioptilidae (Gnatcatchers)",220,18027,1691203,TRUE,FALSE
"6008","Slate-throated Redstart",488053.2792,NA,NA,NA,"Myioborus miniatus","Passeriformes","Parulidae (New World Warblers)",56940,4526744,438252936,FALSE,FALSE
"6009","Slaty Antwren",206245.2774,NA,NA,NA,"Myrmotherula schisticolor","Passeriformes","Thamnophilidae (Typical Antbirds)",4791,412128,39499514,FALSE,FALSE
"6010","Slaty Becard",15695.77203,NA,NA,NA,"Pachyramphus spodiurus","Passeriformes","Tityridae (Tityras and Allies)",692,68392,6405326,TRUE,TRUE
"6011","Slaty Bristlefront",63216.78579,NA,NA,NA,"Merulaxis ater","Passeriformes","Rhinocryptidae (Tapaculos)",745,64119,6038408,FALSE,FALSE
"6012","Slaty Brushfinch",55498.01569,NA,NA,NA,"Atlapetes schistaceus","Passeriformes","Passerellidae (New World Sparrows)",4248,375043,35501754,FALSE,FALSE
"6013","Slaty Cuckoo-Dove",12214.1404,"4250","1500","7000","Turacoena modesta","Columbiformes","Columbidae (Pigeons and Doves)",86,7898,747636,TRUE,TRUE
"6014","Slaty Egret",42500.0427,NA,NA,NA,"Egretta vinaceigula","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)",906,84740,7329211,TRUE,TRUE
"6015","Slaty Elaenia",89246.82595,NA,NA,NA,"Elaenia strepera","Passeriformes","Tyrannidae (Tyrant Flycatchers)",4514,433422,38979969,TRUE,FALSE
"6016","Slaty Finch",185619.8258,NA,NA,NA,"Spodiornis rusticus","Passeriformes","Thraupidae (Tanagers and Allies)",1298,108354,9797735,FALSE,FALSE
"6017","Slaty Gnateater",38739.14564,NA,NA,NA,"Conopophaga ardesiaca","Passeriformes","Conopophagidae (Gnateaters)",881,78122,6956734,FALSE,FALSE
"6018","Slaty Monarch",6910.505612,"X","X","X","Mayrornis lessoni","Passeriformes","Monarchidae (Monarch Flycatchers)",4174,435698,41875523,TRUE,FALSE
"6019","Slaty Tanager",42448.39447,NA,NA,NA,"Creurgops dentatus","Passeriformes","Thraupidae (Tanagers and Allies)",539,48523,4539398,FALSE,FALSE
"6020","Slaty Vireo",62928.28434,NA,NA,NA,"Vireo brevipennis","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",647,62640,5258869,FALSE,FALSE
"6021","Slaty-backed Chat-Tyrant",67378.90847,NA,NA,NA,"Ochthoeca cinnamomeiventris","Passeriformes","Tyrannidae (Tyrant Flycatchers)",2456,227108,22327462,FALSE,FALSE
"6022","Slaty-backed Forest-Falcon",2034704.898,NA,NA,NA,"Micrastur mirandollei","Falconiformes","Falconidae (Falcons and Caracaras)",3544,356407,29004709,TRUE,FALSE
"6023","Slaty-backed Forktail",942830.161,NA,NA,NA,"Enicurus schistaceus","Passeriformes","Muscicapidae (Old World Flycatchers)",6916,679738,62023686,TRUE,FALSE
"6024","Slaty-backed Nightingale-Thrush",120972.3384,NA,NA,NA,"Catharus fuscater","Passeriformes","Turdidae (Thrushes and Allies)",7337,676555,69766724,FALSE,FALSE
"6025","Slaty-backed Thornbill",796080.4722,NA,NA,NA,"Acanthiza robustirostris","Passeriformes","Acanthizidae (Thornbills and Allies)",8370,773353,78221860,TRUE,FALSE
"6026","Slaty-bellied Tesia",677941.4874,NA,NA,NA,"Tesia olivea","Passeriformes","Scotocercidae (Bush Warblers and Allies)",4326,400254,34941920,FALSE,FALSE
"6027","Slaty-blue Flycatcher",196878.6091,NA,NA,NA,"Ficedula tricolor","Passeriformes","Muscicapidae (Old World Flycatchers)",5985,547294,45240314,TRUE,FALSE
"6028","Slaty-breasted Rail",1866884.284,NA,NA,NA,"Lewinia striata","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",10812,1038950,91494499,TRUE,FALSE
"6029","Slaty-breasted Tinamou",129122.3787,NA,NA,NA,"Crypturellus boucardi","Tinamiformes","Tinamidae (Tinamous)",1089,94680,9373746,FALSE,FALSE
"6030","Slaty-breasted Wood-Rail",358562.1279,NA,NA,NA,"Aramides saracura","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",5722,561474,57333825,FALSE,FALSE
"6031","Slaty-capped Flycatcher",183097.5712,NA,NA,NA,"Leptopogon superciliaris","Passeriformes","Tyrannidae (Tyrant Flycatchers)",9882,829504,73242398,FALSE,FALSE
"6032","Slaty-capped Shrike-Vireo",1628030.702,NA,NA,NA,"Vireolanius leucotis","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",19244,1774197,175840439,TRUE,FALSE
"6033","Slaty-chinned Longbill",69249.3394,NA,NA,NA,"Toxorhamphus poliopterus","Passeriformes","Melanocharitidae (Berrypeckers and Longbills)",318,27883,2386168,TRUE,FALSE
"6034","Slaty-headed Parakeet",57586.31264,NA,NA,NA,"Psittacula himalayana","Psittaciformes","Psittaculidae (Old World Parrots)",13496,1254235,113448809,TRUE,FALSE
"6035","Slaty-legged Crake",769983.5537,NA,NA,NA,"Rallina eurizonoides","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",3800,340949,30973169,TRUE,FALSE
"6036","Slaty-tailed Trogon",190485.9845,NA,NA,NA,"Trogon massena","Trogoniformes","Trogonidae (Trogons)",6798,622170,54839665,FALSE,FALSE
"6037","Slaty-winged Foliage-gleaner",43032.36982,NA,NA,NA,"Philydor fuscipenne","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",144,14169,1196461,FALSE,FALSE
"6038","Slender Sheartail",30342.41232,NA,NA,NA,"Doricha enicura","Caprimulgiformes","Trochilidae (Hummingbirds)",1188,104243,9365560,FALSE,FALSE
"6039","Slender-billed Crow",629211.2182,NA,NA,NA,"Corvus enca","Passeriformes","Corvidae (Crows, Jays, and Magpies)",43498,3920803,370036247,TRUE,FALSE
"6040","Slender-billed Flufftail",4751.009889,"625","250","999","Sarothrura watersi","Gruiformes","Sarothruridae (Flufftails)",28,2694,256931,TRUE,TRUE
"6041","Slender-billed Greenbul",1470055.934,NA,NA,NA,"Stelgidillas gracilirostris","Passeriformes","Pycnonotidae (Bulbuls)",15317,1609637,146303979,TRUE,FALSE
"6042","Slender-billed Kite",916935.6419,NA,NA,NA,"Helicolestes hamatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",6429,561693,49384703,TRUE,FALSE
"6043","Slender-billed Miner",240293.547,NA,NA,NA,"Geositta tenuirostris","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",1303,136216,12255924,FALSE,FALSE
"6044","Slender-billed Oriole",270274.4662,NA,NA,NA,"Oriolus tenuirostris","Passeriformes","Oriolidae (Old World Orioles)",4589,446385,38132643,TRUE,FALSE
"6045","Slender-billed Parakeet",49038.16488,"X","X","X","Enicognathus leptorhynchus","Psittaciformes","Psittacidae (New World and African Parrots)",14160,1165986,111366097,FALSE,FALSE
"6046","Slender-billed Prion",21723205.23,NA,NA,NA,"Pachyptila belcheri","Procellariiformes","Procellariidae (Shearwaters and Petrels)",33401,3025345,255978495,FALSE,FALSE
"6047","Slender-billed Scimitar-Babbler",256680.8874,NA,NA,NA,"Pomatorhinus superciliaris","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",1632,136678,12659683,FALSE,FALSE
"6048","Slender-billed Starling",156632.3289,NA,NA,NA,"Onychognathus tenuirostris","Passeriformes","Sturnidae (Starlings)",7483,660345,61618569,TRUE,FALSE
"6049","Slender-billed Thornbill",381131.8713,NA,NA,NA,"Acanthiza iredalei","Passeriformes","Acanthizidae (Thornbills and Allies)",4477,418915,37019894,FALSE,FALSE
"6050","Slender-billed Tyrannulet",23153.12754,"X","X","X","Inezia tenuirostris","Passeriformes","Tyrannidae (Tyrant Flycatchers)",165,15866,1419092,TRUE,FALSE
"6051","Slender-billed Vulture",272270.8427,NA,NA,NA,"Gyps tenuirostris","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",1947,180272,16544525,TRUE,FALSE
"6052","Slender-billed Weaver",215940.6206,NA,NA,NA,"Ploceus pelzelni","Passeriformes","Ploceidae (Weavers and Allies)",13291,1350142,112340389,TRUE,FALSE
"6053","Slender-billed White-eye",2.979345759,NA,NA,NA,"Zosterops tenuirostris","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",0,9,737,TRUE,FALSE
"6054","Slender-billed Xenops",1383675.123,NA,NA,NA,"Xenops tenuirostris","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",2655,258046,22971546,TRUE,FALSE
"6055","Slender-footed Tyrannulet",1488502.162,NA,NA,NA,"Zimmerius gracilipes","Passeriformes","Tyrannidae (Tyrant Flycatchers)",25990,2440344,210696159,TRUE,FALSE
"6056","Slender-tailed Nightjar",473216.0744,NA,NA,NA,"Caprimulgus clarus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",3318,345079,29985603,TRUE,FALSE
"6057","Slender-tailed Woodstar",42433.52257,NA,NA,NA,"Microstilbon burmeisteri","Caprimulgiformes","Trochilidae (Hummingbirds)",2581,231189,24189807,FALSE,FALSE
"6058","Small Blue Kingfisher",84388.51303,NA,NA,NA,"Alcedo coerulescens","Coraciiformes","Alcedinidae (Kingfishers)",9035,859623,83812383,TRUE,FALSE
"6059","Small Buttonquail",6684702.709,NA,NA,NA,"Turnix sylvaticus","Charadriiformes","Turnicidae (Buttonquail)",18639,1566067,150415100,TRUE,FALSE
"6060","Small Ground-Finch",3205.432206,NA,NA,NA,"Geospiza fuliginosa","Passeriformes","Thraupidae (Tanagers and Allies)",28612,2244020,164645986,TRUE,FALSE
"6061","Small Lifou White-eye",447.698282,NA,NA,NA,"Zosterops minutus","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",14,966,82143,TRUE,FALSE
"6062","Small Minivet",1850743.351,NA,NA,NA,"Pericrocotus cinnamomeus","Passeriformes","Campephagidae (Cuckooshrikes)",54520,4789245,415009703,TRUE,FALSE
"6063","Small Niltava",615398.0752,NA,NA,NA,"Niltava macgrigoriae","Passeriformes","Muscicapidae (Old World Flycatchers)",10599,833111,78665677,FALSE,FALSE
"6064","Small Pratincole",1284742.179,NA,NA,NA,"Glareola lactea","Charadriiformes","Glareolidae (Pratincoles and Coursers)",78514,6156360,555943918,TRUE,FALSE
"6065","Small Sparrowhawk",42655.21323,NA,NA,NA,"Accipiter nanus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",1674,151129,14561335,TRUE,FALSE
"6066","Small-billed Elaenia",1058578.144,NA,NA,NA,"Elaenia parvirostris","Passeriformes","Tyrannidae (Tyrant Flycatchers)",43412,4126744,409210313,TRUE,FALSE
"6067","Small-billed Tinamou",2571249.275,NA,NA,NA,"Crypturellus parvirostris","Tinamiformes","Tinamidae (Tinamous)",21693,2083633,202172918,TRUE,FALSE
"6068","Smoke-colored Pewee",394244.8171,NA,NA,NA,"Contopus fumigatus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",7648,711544,65710420,FALSE,FALSE
"6069","Smoky Bush-Tyrant",82801.7098,NA,NA,NA,"Myiotheretes fumigatus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",1153,99729,8507322,FALSE,FALSE
"6070","Smoky Honeyeater",56562.62946,NA,NA,NA,"Melipotes fumigatus","Passeriformes","Meliphagidae (Honeyeaters)",4461,410977,38386354,TRUE,FALSE
"6071","Smoky Robin",17606.95287,NA,NA,NA,"Peneothello cryptoleuca","Passeriformes","Petroicidae (Australasian Robins)",537,42374,3726985,TRUE,FALSE
"6072","Smoky-fronted Tody-Flycatcher",793538.5621,NA,NA,NA,"Poecilotriccus fumifrons","Passeriformes","Tyrannidae (Tyrant Flycatchers)",11672,1099535,105045076,TRUE,FALSE
"6073","Smooth-billed Ani",5448189.536,NA,NA,NA,"Crotophaga ani","Cuculiformes","Cuculidae (Cuckoos)",274865,21133340,1936588818,TRUE,FALSE
"6074","Snail Kite",4129297.824,NA,NA,NA,"Rostrhamus sociabilis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",115467,9587542,809533310,TRUE,FALSE
"6075","Snares Island Snipe",1.000948274,NA,NA,NA,"Coenocorypha huegeli","Charadriiformes","Scolopacidae (Sandpipers and Allies)",0,0,14,TRUE,FALSE
"6076","Snethlage's Tody-Tyrant",933194.7236,NA,NA,NA,"Hemitriccus minor","Passeriformes","Tyrannidae (Tyrant Flycatchers)",27104,2252796,205526806,TRUE,FALSE
"6077","Snoring Rail",32095.14993,NA,NA,NA,"Aramidopsis plateni","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",781,74098,6555561,TRUE,TRUE
"6078","Snow Partridge",321095.957,NA,NA,NA,"Lerwa lerwa","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",1668,138503,13628602,TRUE,FALSE
"6079","Snow Petrel",13894984.47,NA,NA,NA,"Pagodroma nivea","Procellariiformes","Procellariidae (Shearwaters and Petrels)",4875,396945,35891122,FALSE,FALSE
"6080","Snow Pigeon",981195.8566,NA,NA,NA,"Columba leuconota","Columbiformes","Columbidae (Pigeons and Doves)",15614,1522813,129466019,TRUE,FALSE
"6081","Snow-capped Manakin",334053.4581,NA,NA,NA,"Lepidothrix nattereri","Passeriformes","Pipridae (Manakins)",6825,623767,60963821,TRUE,FALSE
"6082","Snowcap",29656.74213,"X","X","X","Microchera albocoronata","Caprimulgiformes","Trochilidae (Hummingbirds)",2893,254633,24599640,FALSE,FALSE
"6083","Snowy Cotinga",39774.38747,NA,NA,NA,"Carpodectes nitidus","Passeriformes","Cotingidae (Cotingas)",879,77329,7408860,FALSE,FALSE
"6084","Snowy Egret",5822660.037,NA,NA,NA,"Egretta thula","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)",508822,42498759,4271404483,TRUE,FALSE
"6085","Snowy Plover",233068.3433,NA,NA,NA,"Charadrius nivosus","Charadriiformes","Charadriidae (Plovers and Lapwings)",99101,8980225,897438566,TRUE,FALSE
"6086","Snowy-bellied Hummingbird",16450.27865,"X","X","X","Amazilia edward","Caprimulgiformes","Trochilidae (Hummingbirds)",184,16545,1674236,TRUE,FALSE
"6087","Snowy-browed Flycatcher",895138.8921,NA,NA,NA,"Ficedula hyperythra","Passeriformes","Muscicapidae (Old World Flycatchers)",20832,1944761,181014065,TRUE,FALSE
"6088","Snowy-browed Nuthatch",700779.6892,NA,NA,NA,"Sitta villosa","Passeriformes","Sittidae (Nuthatches)",9440,852007,65926432,TRUE,FALSE
"6089","Snowy-crowned Robin-Chat",1998480.297,NA,NA,NA,"Cossypha niveicapilla","Passeriformes","Muscicapidae (Old World Flycatchers)",10638,1027008,98002768,TRUE,FALSE
"6090","Snowy-throated Babbler",6358.895433,NA,NA,NA,"Stachyris oglei","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",15,1301,126825,TRUE,FALSE
"6091","Snowy-throated Kingbird",34067.85651,"X","X","X","Tyrannus niveigularis","Passeriformes","Tyrannidae (Tyrant Flycatchers)",3817,335659,29286884,TRUE,FALSE
"6092","Sociable Weaver",254191.3968,NA,NA,NA,"Philetairus socius","Passeriformes","Ploceidae (Weavers and Allies)",37759,2993232,266854406,TRUE,FALSE
"6093","Socotra Cormorant",66295.64445,NA,NA,NA,"Phalacrocorax nigrogularis","Suliformes","Phalacrocoracidae (Cormorants and Shags)",118128,9045136,787254034,TRUE,FALSE
"6094","Soft-plumaged Petrel",20150604.17,NA,NA,NA,"Pterodroma mollis","Procellariiformes","Procellariidae (Shearwaters and Petrels)",8473,799784,73953133,FALSE,FALSE
"6095","Sokoke Pipit",874.5743189,NA,NA,NA,"Anthus sokokensis","Passeriformes","Motacillidae (Wagtails and Pipits)",387,34473,3037347,TRUE,TRUE
"6096","Sokoke Scops-Owl",245.0908052,NA,NA,NA,"Otus ireneae","Strigiformes","Strigidae (Owls)",0,15,1325,TRUE,FALSE
"6097","Solitary Black Cacique",3394524.206,NA,NA,NA,"Cacicus solitarius","Passeriformes","Icteridae (Troupials and Allies)",19228,1840701,157516816,TRUE,FALSE
"6098","Solitary Eagle",385407.0605,NA,NA,NA,"Buteogallus solitarius","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",1443,151470,12892813,FALSE,FALSE
"6099","Solitary Snipe",1543095.98,NA,NA,NA,"Gallinago solitaria","Charadriiformes","Scolopacidae (Sandpipers and Allies)",5550,504886,39639800,TRUE,FALSE
"6100","Solitary Tinamou",412976.4257,NA,NA,NA,"Tinamus solitarius","Tinamiformes","Tinamidae (Tinamous)",2905,253360,20847370,FALSE,FALSE
"6101","Solomons Boobook",6652.790262,"X","X","X","Ninox jacquinoti","Strigiformes","Strigidae (Owls)",50,4885,410405,TRUE,FALSE
"6102","Solomons Cuckooshrike",9603.419011,"","","","Edolisoma holopolium","Passeriformes","Campephagidae (Cuckooshrikes)",3432,305102,27089433,TRUE,FALSE
"6103","Solomons Frogmouth",6447.101659,NA,NA,NA,"Rigidipenna inexpectata","Caprimulgiformes","Podargidae (Frogmouths)",44,3716,328178,TRUE,TRUE
"6104","Solomons White-eye",1633.922507,"X","X","X","Zosterops kulambangrae","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",13,1190,108889,TRUE,FALSE
"6105","Somali Bee-eater",370016.1184,NA,NA,NA,"Merops revoilii","Coraciiformes","Meropidae (Bee-eaters)",1094,94706,9084849,TRUE,FALSE
"6106","Somali Bunting",482701.2466,NA,NA,NA,"Emberiza poliopleura","Passeriformes","Emberizidae (Old World Buntings)",5109,446817,41640118,TRUE,FALSE
"6107","Somali Courser",435667.3407,NA,NA,NA,"Cursorius somalensis","Charadriiformes","Glareolidae (Pratincoles and Coursers)",1306,121280,11082799,TRUE,FALSE
"6108","Somali Crombec",348228.3964,NA,NA,NA,"Sylvietta isabellina","Passeriformes","Macrosphenidae (African Warblers)",817,68621,6159331,TRUE,FALSE
"6109","Somali Crow",455527.9056,NA,NA,NA,"Corvus edithae","Passeriformes","Corvidae (Crows, Jays, and Magpies)",977,89176,8011815,TRUE,FALSE
"6110","Somali Fiscal",331309.6799,NA,NA,NA,"Lanius somalicus","Passeriformes","Laniidae (Shrikes)",1570,141920,12885074,TRUE,FALSE
"6111","Somali Ostrich",416608.7636,NA,NA,NA,"Struthio molybdophanes","Struthioniformes","Struthionidae (Ostriches)",4424,400768,40358349,TRUE,FALSE
"6112","Somali Short-toed Lark",78422.96517,NA,NA,NA,"Alaudala somalica","Passeriformes","Alaudidae (Larks)",3106,279653,26967312,TRUE,FALSE
"6113","Somali Sparrow",275160.9436,NA,NA,NA,"Passer castanopterus","Passeriformes","Passeridae (Old World Sparrows)",62719,5618646,537725945,TRUE,FALSE
"6114","Somali Starling",109086.1307,NA,NA,NA,"Onychognathus blythii","Passeriformes","Sturnidae (Starlings)",3886,337123,25539844,TRUE,FALSE
"6115","Somali Tit",335588.5189,NA,NA,NA,"Melaniparus thruppi","Passeriformes","Paridae (Tits, Chickadees, and Titmice)",1821,160981,18475619,TRUE,FALSE
"6116","Sombre Greenbul",516813.385,NA,NA,NA,"Andropadus importunus","Passeriformes","Pycnonotidae (Bulbuls)",21603,1916404,156973148,TRUE,FALSE
"6117","Sombre Hummingbird",555328.5672,NA,NA,NA,"Aphantochroa cirrochloris","Caprimulgiformes","Trochilidae (Hummingbirds)",9971,962118,89995989,TRUE,FALSE
"6118","Sombre Kingfisher",6991.082678,NA,NA,NA,"Todiramphus funebris","Coraciiformes","Alcedinidae (Kingfishers)",33,3519,305012,TRUE,FALSE
"6119","Sombre Nightjar",209765.8948,NA,NA,NA,"Caprimulgus fraenatus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",452,44509,4439680,TRUE,FALSE
"6120","Sombre Pigeon",37632.52669,"X","X","X","Cryptophaps poecilorrhoa","Columbiformes","Columbidae (Pigeons and Doves)",340,30542,2718708,TRUE,FALSE
"6121","Sombre Tit",494666.2997,NA,NA,NA,"Poecile lugubris","Passeriformes","Paridae (Tits, Chickadees, and Titmice)",11144,936434,91660123,TRUE,FALSE
"6122","Song Sparrow",1965041.817,NA,NA,NA,"Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)",83148721,214266112,540228049,TRUE,TRUE
"6123","Song Thrush",800997.8724,NA,NA,NA,"Turdus philomelos","Passeriformes","Turdidae (Thrushes and Allies)",213626,18106941,1620436735,TRUE,FALSE
"6124","Song Wren",123136.154,NA,NA,NA,"Cyphorhinus phaeocephalus","Passeriformes","Troglodytidae (Wrens)",2974,277314,25471277,TRUE,FALSE
"6125","Sooretama Slaty-Antshrike",81033.0702,NA,NA,NA,"Thamnophilus ambiguus","Passeriformes","Thamnophilidae (Typical Antbirds)",9354,838050,81092923,FALSE,FALSE
"6126","Sooty Albatross",23679395.87,NA,NA,NA,"Phoebetria fusca","Procellariiformes","Diomedeidae (Albatrosses)",180,15995,1397535,FALSE,FALSE
"6127","Sooty Ant-Tanager",36730.76804,"X","X","X","Habia gutturalis","Passeriformes","Cardinalidae (Cardinals and Allies)",511,42702,4257457,FALSE,FALSE
"6128","Sooty Antbird",751246.6863,NA,NA,NA,"Hafferia fortis","Passeriformes","Thamnophilidae (Typical Antbirds)",4513,379969,34054671,FALSE,FALSE
"6129","Sooty Babbler",8402.046285,"X","X","X","Stachyris herberti","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",71,6505,570192,TRUE,FALSE
"6130","Sooty Barbet",108880.4499,NA,NA,NA,"Caloramphus hayii","Piciformes","Megalaimidae (Asian Barbets)",2935,260577,23512983,TRUE,FALSE
