"","Species2_eBird","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length"
"89","Pycnonotus bimaculatus",1.41583333333333,0.329166666666667,0.0424999999999999,0.235833333333333,6.89583333333333,2.91666666666667,3.0025,42.9166666666667
"90","Pycnonotus blanfordi",1.53,0.0199999999999999,0.0425,0.0158333333333333,3.63583333333333,21.6666666666667,7.76666666666666,101.333333333333
"91","Pycnonotus cafer",5.20272727272727,1.20810606060606,0.500227272727273,0.219015151515151,1.38606060606061,90.9753787878788,13.3015151515152,116.878787878788
"92","Pycnonotus capensis",0.846666666666668,0.596666666666668,0.0866666666666667,0.115833333333333,1.69,14.25,0.659999999999999,17.5833333333333
"93","Pycnonotus finlaysoni",1.98666666666667,0.596666666666667,0.135833333333333,0.123333333333333,2.12666666666667,4.33333333333333,0.809166666666666,1.66666666666667
"94","Pycnonotus flavescens",0.675833333333333,0.1825,0.0333333333333334,0.49,1.60916666666666,50.9166666666667,2.19666666666667,54.6666666666667
"95","Pycnonotus goiavier",0.0691666666666665,0.0158333333333334,0.0291666666666667,0.0566666666666666,0.15,2,0.949166666666667,12
"96","Pycnonotus jocosus",1.18267857142857,0.387857142857143,0.348392857142857,0.193571428571429,5.29839285714286,64.5669642857143,2.60571428571429,79.0714285714286
"97","Pycnonotus leucogenys",0.136666666666666,0.289166666666666,0.0866666666666666,0.0958333333333333,1.55583333333333,9.66666666666667,4.6425,13.6666666666667
"98","Pycnonotus leucogrammicus",0.5625,0.0900000000000001,0.17,0.0666666666666668,3.51583333333333,7,3.88666666666667,57.3333333333333
"99","Pycnonotus leucotis",0.43,0.389166666666667,0.0158333333333333,0.0824999999999998,0.349166666666666,12.9166666666667,0.762499999999999,35.6666666666667
"100","Pycnonotus luteolus",0.2625,0.186666666666667,0.0624999999999999,0.0133333333333334,0.113333333333333,2.91666666666667,0.1825,7.33333333333333
"101","Pycnonotus nigricans",0.189999999999999,0.0758333333333332,0.00916666666666669,0.0358333333333334,0.289166666666667,4.91666666666667,1.43583333333333,4.33333333333333
"102","Pycnonotus penicillatus",0.0691666666666665,0.2825,0.17,0.0291666666666667,1.08916666666667,12.25,4.28916666666667,16.6666666666667
"103","Pycnonotus plumosus",0.46,0.433333333333334,0.0566666666666666,0.0291666666666666,0.255833333333335,9.66666666666667,2.68916666666667,12.9166666666667
"104","Pycnonotus simplex",1.207,0.163,0.228,0.145,0.148,12.3,1.272,6.3
"105","Pycnonotus sinensis",0.685000000000001,0.115,0.532,0.04,2.935,6.668,8.245,41.3
"106","Pycnonotus striatus",0.646666666666669,0.0599999999999999,0.0225,0.0466666666666667,1.61666666666666,8.25,2.87,72.6666666666667
"107","Pycnonotus xantholaemus",0.909166666666667,0.326666666666667,0.0691666666666667,0.0291666666666666,0.829166666666669,7,2.89666666666667,4
"108","Pycnonotus xanthopygos",0.323333333333334,0.1425,0.116666666666667,0.0566666666666667,0.790000000000001,4.91666666666667,1.65666666666667,12.9166666666667
"109","Pycnonotus xanthorrhous",0.38,0.1225,0.0158333333333333,0.0491666666666666,1.14916666666667,9,2.26916666666667,28
"110","Pycnonotus zeylanicus",3.40666666666667,0.569999999999999,0.1,0.92,2.2425,72.9166666666667,2.24333333333333,28.25
"111","Rubigula cyaniventris",1.61766666666667,0.101666666666667,0.0386666666666667,0.0466666666666667,1.17766666666667,6.96666666666667,4.35766666666667,1.86666666666667
"112","Rubigula dispar",0.522499999999999,0.0666666666666666,0.0625,0.0366666666666667,0.3625,11,1.1,16.9166666666667
"113","Rubigula erythropthalmos",0.215833333333333,0.0624999999999999,0.00666666666666668,0.00333333333333331,0.2425,0.333333333333333,3.56666666666667,2.25
