avonet_specimen_id,avdb_source_id,avdb_avibase_id,avdb_species_1_birdlife,avdb_species_2_ebird,avdb_species_3_birdtree,gdb_subspecies,avdb_source_type,avdb_source_code,avdb_specimen_identifier_unique,avdb_specimen_identifier_orig,avdb_country_wri,gdb_locality_edited,gdb_locality_original,avdb_sex,avdb_life_stage,avdb_wing_length,avdb_kipps_distance,avdb_secondary_1,avdb_beak_length_culmen,avdb_beak_length_nares,avdb_beak_width,avdb_gape_width,gdb_gape_size,avdb_beak_depth_nares,avdb_beak_depth_max,avdb_tail_length,avdb_tail_graduation,avdb_tarsus_length,avdb_back_toe,avdb_measurer_tag,avdb_measurer_comment,avdb_lit_abbrev
Bleda canicapillus_16,77195,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1123,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,98,14.1,83.9,21,13.8,5.6,NULL,11.5,6.7,NULL,93,NULL,25.8,NULL,NNDA,NULL,NULL
Bleda canicapillus_17,77196,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1124,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,112,19,93,21.2,14.7,6.3,NULL,13.2,6.8,NULL,95,NULL,26.1,NULL,NNDA,NULL,NULL
Bleda canicapillus_18,77185,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1113,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,94,9,85,20.1,12.4,5.8,NULL,12.9,6.2,NULL,91,NULL,25.9,NULL,NNDA,NULL,NULL
Bleda canicapillus_19,77186,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1114,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,94,9,85,20,12.7,5.3,NULL,11.9,6.1,NULL,91,NULL,24.8,NULL,NNDA,NULL,NULL
Bleda canicapillus_5,77194,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1122,1_NA,Ghana,NULL,Dompim,unknown,Adult,99,10,89,18.5,12.6,4.8,NULL,16.5,5.4,NULL,90,NULL,25.8,NULL,NNDA,NULL,NULL
Bleda canicapillus_6,77197,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1125,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,102,14,88,21.6,14.5,5.6,NULL,13.7,6.9,NULL,94,NULL,30,NULL,NNDA,NULL,NULL
Bleda canicapillus_7,77198,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1126,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,104,12,92,23.2,15.7,5.7,NULL,16.4,7.1,NULL,98,NULL,27.2,NULL,NNDA,NULL,NULL
Bleda canicapillus_8,77199,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1127,1_NA,Ghana,NULL,Ahokwa,unknown,Adult,103,15,88,23.1,14.1,6.2,NULL,16.1,7.2,NULL,90,NULL,28.1,NULL,NNDA,NULL,NULL
Bleda canicapillus_9,77187,AVIBASE-D4B9EE90,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,NULL,field study,Field1,1_NA_1115,1_NA,Ghana,NULL,Dompim,unknown,Adult,95,12.7,82.3,17.6,12.5,5.7,NULL,11.9,6.1,NULL,NULL,NULL,24.4,NULL,NNDA,NULL,NULL
Bleda notatus_10,77288,AVIBASE-4F97BFE1,Bleda notatus,Bleda notatus,Bleda notatus,NULL,field study,Field1,1_NA_1216,1_NA,Equatorial Guinea,NULL,Oyala,unknown,Adult,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,NULL,AKW,NULL,NULL
Bleda notatus_100,77335,AVIBASE-4F97BFE1,Bleda notatus,Bleda notatus,Bleda notatus,NULL,field study,Field1,1_NA_1263,1_NA,Equatorial Guinea,NULL,Oyala,unknown,Adult,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP,NULL,NULL
Bleda notatus_101,77352,AVIBASE-4F97BFE1,Bleda notatus,Bleda notatus,Bleda notatus,NULL,field study,Field1,1_NA_1280,1_NA,Equatorial Guinea,NULL,Oyala,unknown,Adult,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,JDW,NULL,NULL
Bleda notatus_102,77250,AVIBASE-4F97BFE1,Bleda notatus,Bleda notatus,Bleda notatus,NULL,field study,Field1,1_NA_1178,1_NA,Equatorial Guinea,NULL,Oyala,unknown,Adult,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,JDW,NULL,NULL
Bleda notatus_103,77339,AVIBASE-4F97BFE1,Bleda notatus,Bleda notatus,Bleda notatus,NULL,field study,Field1,1_NA_1267,1_NA,Equatorial Guinea,NULL,Oyala,unknown,Adult,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,NULL,JDW,NULL,NULL
Bleda notatus_104,77276,AVIBASE-4F97BFE1,Bleda notatus,Bleda notatus,Bleda notatus,NULL,field study,Field1,1_NA_1204,1_NA,Equatorial Guinea,NULL,Oyala,unknown,Adult,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL,NULL,JDW,NULL,NULL
