LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
"Hua-Lien, Ping-Lin",Taiwan,,,NA,NA,,,,,,Pycnonotus taivanus,Smithsonian NMNH,USNM 473200,1,NA
"Huai Kha Khaeng WS, Uthai Thani",Thailand,,,NA,NA,,,,,,"Pycnonotus aurigaster, Pycnonotus conradi, Pycnonotus finlaysoni, Rubigula flaviventris",Field1,"4A01548, 4A01549, 4A01550, 4A02447, 4A02446, 4A02445, 4A02450, 4A02449, 4A02448, 3A11826, 3A11827, 3A11825",12,NA
"Huai Krajao, Kanchanaburi",Thailand,,,NA,NA,,,,,,"Pycnonotus aurigaster, Pycnonotus conradi",Field1,"3A10735, 4A02475, 4A02474, 4A02473, 4A02471, 4A02470, 4A02469, 4A02476, 4A02465, 4A02477",10,NA
"Huai Nam Yen, Pang Sida, Sa Kaeo Provinc",Thailand,,,NA,NA,,,,,,"Iole propinqua, Microtarsus melanocephalos, Rubigula flaviventris, Alophoixus pallidus",Field1,"3A12120, 3A12130, 3A12114, 3A12125, 3A12133, 3A12121, 3A12128, 3A12124, 3A12129, 3A12131, 3A12132, 4A30806, 4A30805, 4A30807, 4A30808, 4A30809, 4A30810, 4A30811, 4A30812",19,NA
"Hunguéria, Huíla",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",19248,1,NA
"Hushan Township, Dandong, Liaoning",China,,,NA,NA,,,,,,Hypsipetes amaurotis,"Institute of Zoology, Chinese Academy of Sciences",62667,1,NA
"IIT, Andhra Pradesh",India,,,NA,NA,,,,,,"Pycnonotus cafer, Pycnonotus jocosus, Pycnonotus luteolus",Indian Institute of Science Education and Research Tirupati,"a_56, d_57, z_99, ab_109, ab_110, ab_108, ab_111, ab_112, ab_106, ab_113, ab_94",11,NA
"ILARA (7.373945033, 5.102359001)",Nigeria,,,NA,NA,,,,,,"Pycnonotus barbatus, Eurillas virens",Field1,"CA02670, CA02699, CA02672, CA02673, CA02674, CA02675, CA02676, CA02678, CA02679, CA02680, CA02681, FB26117",12,NA
"INDONESIA: Propinsi Sumatera Barat; Lunang, 3 km S, 13 km W; -2.27, 101.18; Habitat: scrub country next to small stream and freshwater swamp",Indonesia,,,NA,NA,,,,,,Rubigula erythropthalmos,Burke Museum,UWBM 67460,1,NA
"Imbak River, Sabah, E. Malaysia",Malaysia,,,NA,NA,,,,,,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,"WFVZ #38885, WFVZ #38884",2,NA
"Inalad, Municipality of Siaton, Negros Oriental Province, Negros Island",Philippines,,,NA,NA,,,,,,Pycnonotus goiavier,University of Western Ontario,UWO 1331,1,NA
"Incafe (Ganda), Benguela",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",32986,1,NA
"Incafé (Ganda), Benguela",Angola,,,NA,NA,,,,,,Phyllastrephus cabanisi,"Lubango Museum, Angola",32965,1,NA
Indawgyi WS Kachin State Myanmar,Thailand,,,NA,NA,,,,,,"Alophoixus flaveolus, Iole propinqua, Pycnonotus cafer, Rubigula flaviventris, Pycnonotus jocosus",Field1,"4A30838, 4A30839, 3A12164, 4A30815, 4A30814, 4A30607, 4A30606, 4A30602, 4A30609, 4A30620, 4A30624, 3A60003, 3A60002, 3A12161, 3A12163, 3A12165, 4A30625, 3A12159, 4A30623, 4A30621, 4A30619, 4A30617, 4A30616, 3A12151",24,NA
India,India,,,NA,NA,,,,,,"Pycnonotus cafer, Rubigula flaviventris",Royal Ontario Museum,"NA, B 3957b; WR 24, 1492",4,NA
"IoNA, Moçâmedes",Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola","26280, 26281",2,NA
"Ise, Mie Prefecture",Japan,,,NA,NA,,,,,,Hypsipetes amaurotis,"Institute of Zoology, Chinese Academy of Sciences",51835,1,NA
"Itabe (= Itabi), 1030 m alt, Kivu, Zaïre",DRC,,,NA,NA,,,,,,Phyllastrephus lorenzi,"Royal Belgian Institute of Natural Sciences, Brussels","RBINS 69189, RBINS 69190, RBINS 69191",3,NA
Java,Indonesia,,,NA,NA,,,,,,Rubigula dispar,NHMUK,73.5.12.30,1,NA
Java,Indonesia,,,NA,NA,,,,,,Pycnonotus bimaculatus,Queensland Museum,O7874,1,NA
Java,Indonesia,,,NA,NA,,,,,,Rubigula dispar,RMNH,"62899, 62900, 62902, 62903, 62904, 62905, 62906, 62907, 62908, 62909, 62911, 62912, 62913, 62914, 62915, 62916, 62917, 62918, 62920, 62921, 62922, 62923, 62924, 62925, 62927, 62928, 62929, 62930, 62931, 62934, 62935, 62937, 62938, 62939, 62941, 61189, 61190, 66884, 66886, 125570, 27249, 62901, 62910",43,NA
Java,Indonesia,,,NA,NA,,,,,,Rubigula dispar,USNM,219935,1,NA
Java,Indonesia,,,NA,NA,,,,,,Rubigula dispar,ZMB,28/96,1,NA
Java,Indonesia,,,NA,NA,,,,,,Rubigula dispar,ZSM,"1910/878, 1910/879",2,NA
Java,Indonesia (Java),,,NA,NA,,,,,,Pycnonotus bimaculatus,RMNH,RMNH125816,1,NA
Java (Pelabuhan Ratu),Indonesia,,,NA,NA,,,,,,Rubigula dispar,RMNH,"125538, 125541, 125542",3,NA
"Jenabil, Odisha",India,,,NA,NA,,,,,,"Pycnonotus cafer, Pycnonotus jocosus",Indian Institute of Science Education and Research Tirupati,"a_7508, ab_4083, a_4300, a_7516",5,NA
Jinai Village,Taiwan,,,NA,NA,,,,,,Spizixos semitorques,RMNH,"RMNH.AVES.53356, RMNH.AVES.53631, RMNH.AVES.53632, RMNH.AVES.53633, RMNH.AVES.53634, RMNH.AVES.53635",6,NA
"Jodigere, Karnataka",India,,,NA,NA,,,,,,Acritillas indica,Indian Institute of Science Education and Research Tirupati,"ab_140, ab_141, ab_142",3,NA
Johanna Island (Nzwani/Anjouan),Comoros,,,NA,NA,,,,,,Hypsipetes parvirostris,University of Cambridge Museum of Zoology,"UMZC 27/Pyc/6/j/8, UMZC 27/Pyc/6/j/9",2,NA
"Jontiga (Bibala), Moçâmedes",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",21565,1,NA
"Jontipa (Bibala), Moçâmedes",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",27418,1,NA
