COMMON_NAME,area_square_miles
Narina Trogon,4220861.346
Bar-tailed Trogon,187607.3461
Bonin White-eye,9.22700047
Black-billed Flycatcher,70953.5427
Sombre Hummingbird,555328.5672
Southern Whiteface,1444458.981
Banded Whiteface,625217.1087
Chestnut-breasted Whiteface,89223.8225
California Scrub-Jay,897011.9272
Florida Scrub-Jay,2676.919397
Transvolcanic Jay,33937.50507
Unicolored Jay,57569.01622
Mexican Jay,186922.4874
Thorn-tailed Rayadito,189703.7847
Kerguelen Petrel,23202336.84
Samoan Starling,1190.259639
Singing Starling,317665.5947
Rarotonga Starling,12.02402503
Tanimbar Starling,1330.299587
Makira Starling,1286.462386
Atoll Starling,37.39008874
Brown-winged Starling,12023.34151
Rennell Starling,208.1230347
Long-tailed Starling,1105.503201
Metallic Starling,296201.6114
Short-tailed Starling,125832.7701
Moluccan Starling,24865.93145
Yellow-eyed Starling,31985.91309
Micronesian Starling,779.530738
Asian Glossy Starling,828251.2918
Pohnpei Starling,23.73976023
Striated Starling,6927.280979
Polynesian Starling,9017.739916
Rusty-winged Starling,3498.235393
Yapacana Antbird,16455.0014
Red-winged Parrot,1059094.676
Olive-shouldered Parrot,10882.32808
Southern Brown Kiwi,3806.175254
Great Spotted Kiwi,3305.527852
North Island Brown Kiwi,14551.9849
Little Spotted Kiwi,13.57852838
Okarito Brown Kiwi,92.43060546
Little Swift,7981346.518
Alexander's Swift,1020.393573
African Swift,235541.6863
Bates's Swift,115544.4825
Forbes-Watson's Swift,28239.91339
Bradfield's Swift,340672.4935
White-rumped Swift,4136649.164
Horus Swift,789035.0242
Nyanza Swift,114922.4647
House Swift,2227032.5
Pacific Swift,913393.512
Pallid Swift,134780.2959
Plain Swift,3198.280374
Spanish Eagle,50664.77391
Cassin's Hawk-Eagle,740635.4834
Wedge-tailed Eagle,2965115.07
Bonelli's Eagle,2201345.2
Gurney's Eagle,232359.2069
Imperial Eagle,170479.4855
Tawny Eagle,6784576.972
African Hawk-Eagle,4796637.841
Verreaux's Eagle,1552185.988
Great Green Macaw,41811.41337
Blue-and-yellow Macaw,3003886.77
Red-and-green Macaw,3127888.97
Blue-throated Macaw,10730.6364
Scarlet Macaw,2608293.655
Military Macaw,108796.5734
Red-fronted Macaw,2867.196331
Chestnut-fronted Macaw,2248838.846
Streaky-breasted Spiderhunter,135127.4733
Yellow-eared Spiderhunter,477741.4524
Naked-faced Spiderhunter,70761.14161
Thick-billed Spiderhunter,347375.8619
Pale Spiderhunter,4688.62675
Orange-tufted Spiderhunter,46619.90539
Spectacled Spiderhunter,450567.6246
Whitehead's Spiderhunter,11398.65858
Little Spiderhunter,1357050.784
Streaked Spiderhunter,766264.3336
Gray-breasted Spiderhunter,442677.9137
Long-billed Spiderhunter,243575.1928
Rufous-necked Wood-Rail,152097.1488
Gray-cowled Wood-Rail,5239023.787
Red-winged Wood-Rail,242276.0036
Little Wood-Rail,299001.9347
Slaty-breasted Wood-Rail,358562.1279
Brown Wood-Rail,46200.97935
Giant Wood-Rail,1410306.662
Snoring Rail,32095.14993
Limpkin,4703494.347
Golden-capped Parakeet,25189.8717
Jandaya Parakeet,584704.9345
Sulphur-breasted Parakeet,7708.414523
Nanday Parakeet,100214.1354
Sun Parakeet,37211.47585
Dusky-headed Parakeet,872650.3423
Hainan Partridge,5096.362576
White-cheeked Partridge,116183.61
Bar-backed Partridge,187754.0767
Chestnut-headed Partridge,6922.092378
Malaysian Partridge,6595.554904
Chestnut-necklaced Partridge,43186.82307
Scaly-breasted Partridge,273308.1525
Taiwan Partridge,8791.081754
Orange-necked Partridge,1724.090287
White-necklaced Partridge,153057.2779
Red-breasted Partridge,62169.9702
Chestnut-bellied Partridge,14271.03893
Gray-breasted Partridge,4134.305507
Roll's Partridge,15348.48858
Red-billed Partridge,26823.70574
Sichuan Partridge,2975.814114
Rufous-throated Partridge,480903.3636
Sumatran Partridge,15392.69265
Hill Partridge,278533.6241
Dapple-throat,2467.738035
Archbold's Bowerbird,24945.75726
Great Egret,21740019.21
Gray Heron,11335598.8
Cocoi Heron,5692003.536
Goliath Heron,6885347.913
Great Blue Heron,2732712.378
Humblot's Heron,23627.52687
White-bellied Heron,24290.12964
Intermediate Egret,1253880.633
Black-headed Heron,7361870.106
Pacific Heron,2622036.345
Purple Heron,11005391.14
Great-billed Heron,681274.8861
Buller's Shearwater,42393752.47
Flesh-footed Shearwater,45331599.35
Pink-footed Shearwater,5635294.889
Great Shearwater,24558680.15
Sooty Shearwater,81070796.2
Wedge-tailed Shearwater,46222093.27
Short-tailed Shearwater,43494461.23
Chinese Pond-Heron,246326.4146
Indian Pond-Heron,1268599.618
Madagascar Pond-Heron,213.194019
Squacco Heron,7137244.603
Rufous-bellied Heron,2141346.131
Javan Pond-Heron,235801.5075
Arabian Bustard,1139138.076
Australian Bustard,2593532.414
Kori Bustard,1376808.59
Indian Bustard,174173.1002
Ruddy Turnstone,10994.81215
Great Argus,522984.2887
Shelley's Greenbul,63213.00358
Stripe-cheeked Greenbul,16360.65428
Cameroon Mountain Greenbul,23678.48081
Eastern Mountain-Greenbul,95925.82785
Western Mountain-Greenbul,22969.08873
Black-capped Sparrow,20199.52356
Gray-browed Brushfinch,116918.815
Black-headed Brushfinch,28259.6384
Sierra Nevada Brushfinch,3158.181389
Chestnut-capped Brushfinch,238891.9517
Olive Finch,47394.36924
Costa Rican Brushfinch,1437.570204
Saffron-billed Sparrow,830031.4096
Sao Francisco Sparrow,20498.2717
Perija Brushfinch,2645.135122
Caracas Brushfinch,3980.663701
Paria Brushfinch,3173.421214
Golden-winged Sparrow,72506.14221
Half-collared Sparrow,83064.56097
Pectoral Sparrow,2608295.219
White-browed Brushfinch,43639.92606
Green-striped Brushfinch,30805.53122
Green-backed Sparrow,90463.66171
Black-striped Sparrow,437374.3106
Olive Sparrow,214707.9677
Tocuyo Sparrow,28109.12489
Ochre-collared Monarch,66407.72025
Pied Monarch,10722.29079
Frill-necked Monarch,17269.07098
Frilled Monarch,154196.5005
White-headed Vanga,160362.5172
Black-faced Woodswallow,2866244.325
Dusky Woodswallow,1504678.911
Ashy Woodswallow,1815102.915
Bismarck Woodswallow,14611.23799
Great Woodswallow,96014.61326
Fiji Woodswallow,6664.224831
Little Woodswallow,2503925.44
Ivory-backed Woodswallow,70436.70569
Masked Woodswallow,2895668.482
White-browed Woodswallow,2765510.538
Bell's Sparrow,64413.53924
Sagebrush Sparrow,39147.75577
African Tailorbird,26437.31732
Long-billed Tailorbird,153.2579551
White-headed Marsh Tyrant,3508794.192
White-winged Duck,385993.8144
Gibber Chat,39992.78457
Abyssinian Owl,59457.88774
Marsh Owl,2819519.953
Striped Owl,2765993.087
Madagascar Owl,223902.8969
Long-eared Owl,7946976.112
Stygian Owl,1937173.162
Blue-throated Motmot,38254.44984
Austral Canastero,74317.5553
Ayacucho Thistletail,3913.864504
Short-billed Canastero,666685.3478
Berlepsch's Canastero,812.326318
Ochre-browed Thistletail,3478.852224
Creamy-breasted Canastero,97347.97295
Many-striped Canastero,47469.25594
White-chinned Thistletail,37136.1033
Mouse-colored Thistletail,7302.276145
Black-throated Thistletail,9208.146682
Puna Thistletail,16745.14806
Hudson's Canastero,310127.4697
Streak-throated Canastero,56375.49136
Cipo Canastero,5746.861156
Scribble-tailed Canastero,18917.84941
Cordilleran Canastero,778112.27
Itatiaia Spinetail,15275.23181
Rusty-fronted Canastero,18599.45047
Eye-ringed Thistletail,4438.777414
Canyon Canastero,34442.1112
Sharp-billed Canastero,518406.8781
Vilcabamba Thistletail,5076.582591
Junin Canastero,18032.18019
Streak-backed Canastero,180517.2976
Ribbon-tailed Astrapia,2876.88432
Arfak Astrapia,1436.754899
Huon Astrapia,2576.561898
Splendid Astrapia,16466.78729
Stephanie's Astrapia,21463.25033
Rufous-headed Ground-Roller,8655.809901
Pitta-like Ground-Roller,17725.02725
Spotted Owlet,2012895.005
Burrowing Owl,4245698.61
Little Owl,10321929.33
White-browed Owl,160393.5984
Yellow-throated Greenbul,649885.5132
Inaccessible Island Rail,6.34185597
White-headed Brushfinch,10154.80581
White-naped Brushfinch,108756.4882
Moustached Brushfinch,11989.39993
Antioquia Brushfinch,88.90444389
Cuzco Brushfinch,13601.46402
Yellow-striped Brushfinch,5196.945684
Yellow-headed Brushfinch,7907.243514
Apurimac Brushfinch,7025.449834
Fulvous-headed Brushfinch,29967.92295
