CatalogNumber,Collection,Scientific Name,priority,Sex,Date,Country,Locality,Total.culmen,Length.of.bill.from.nostril,Bill.width,Bill.depth,Gape.width,Tarsus.length,Tail.length,Wing.length,First.secondary.length,Measurer,Lat,Lon
185298,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Sangau,16.31,9.16,4.12,5.02,10.35,15.59,68.92,85.73,73.46,BRW,22.7413563,93.0572032
185337,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Laikul,16.4,9.02,4.34,4.63,9.53,16.19,81.52,90.12,77.33,BRW,25.113956,92.945386
185342,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Haflong,16.43,9.21,4.58,5.16,8.94,16.41,79.8,86.56,73.74,BRW,25.1833324,93.0333366
238801,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Kohima,16.44,9.45,4.28,4.81,10.86,16.03,76.15,85.82,73.54,BRW,25.6666667,94.1166649
185319,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,"Khasi Hills, Mawrygkneng",16.44,10.72,4.76,4.81,9.46,16.24,73.06,85.81,71.89,BRW,25.554509,92.060499
185301,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Sangau,16.45,8.97,4.75,5.02,10.25,18.1,81.57,91.19,76.8,BRW,22.7413563,93.0572032
185291,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Pai Khai,16.45,9.35,4.6,5.53,10.91,16.98,77.7,88.9,75.76,BRW,23.6333333,92.75
185323,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,u,NA,India,"Khasi Hills, Mawrygkneng",16.52,9.88,4.64,5.13,8.82,15.79,81.37,88.12,75.52,BRW,25.554509,92.060499
185305,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Sangau,16.52,8.04,4.38,4.67,9.66,18.12,NA,85.77,71.69,BRW,22.7413563,93.0572032
185339,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Haflong,16.55,9.22,4.28,4.92,8.68,16.69,75.97,82.6,73.14,BRW,25.1833324,93.0333366
185322,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawrygkneng",16.58,10.6,4.83,4.88,9.47,NA,75.75,89.21,75.38,BRW,25.554509,92.060499
185318,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Nichuguard,16.59,10.03,5.28,5.52,10.08,17.94,81.75,90.65,76.25,BRW,25.8166676,93.7833336
185299,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Sangau,16.61,11.01,5.66,5.45,10.41,18.08,79.99,89.92,78,BRW,22.7413563,93.0572032
185340,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Haflong,16.63,9.18,3.78,4.84,9.36,16.73,81.26,88.63,75.08,BRW,25.1833324,93.0333366
185296,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Sangau,16.63,9.08,4.44,4.94,10.35,16.72,78.8,85.54,73.33,BRW,22.7413563,93.0572032
68994,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,Laos,Bountai,16.65,8.75,4.71,4.91,10.31,16.54,83.71,86.79,77.13,BRW,NA,NA
185336,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Laikul,16.67,9.51,4.33,4.72,8.88,16.67,75.99,88.28,76.48,BRW,25.113956,92.945386
185285,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Lechiwala,16.68,9.06,4.23,4.69,10.42,16.06,83.2,91.32,76.08,BRW,30.210677,78.135177
185306,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Sangau,16.68,9.58,5.55,5.25,9.82,16.54,79.49,89.63,76.23,BRW,22.7413563,93.0572032
