,Var1,Freq
166,Criniger chloronotus,12
167,Criniger diardi,7
168,Criniger finschi,11
169,Criniger flaveolus,29
170,Criniger flaveolus burmanicus,6
171,Criniger flaveolus flaveolus,6
172,Criniger frater,9
173,Criniger griseiceps,4
174,Criniger gularis,14
175,Criniger gularis annamonsis,1
176,Criniger gularis balicus,6
177,Criniger gularis henrici,2
178,Criniger gutturalis gutturalis,2
179,Criniger gutturalis ochraceus,21
180,Criniger icterica,4
181,Criniger mystacalis,5
182,Criniger mysticalis,2
183,Criniger ndussumensis,2
184,Criniger ochraceus,13
185,Criniger ochraceus annamensis,7
186,Criniger ochraceus cambodianus,3
187,Criniger ochraceus pallidus,16
188,Criniger ochraceus sacculatus,15
189,Criniger ochraceus sumatrensis,18
190,Criniger olivaceus,12
191,Criniger pallidus,18
192,Criniger phaeocephalus,32
193,Criniger phaeocephalus connectens,1
194,Criniger ruficrissus,13
195,Criniger simplex,29
196,Criniger tephrogenys,33
197,Criniger tephrogenys burmanicus,3
198,Criniger tephrogenys flaveolus,1
199,Criniger tephrogenys frater,3
200,Criniger tephrogenys gutturalis,8
201,Criniger tephrogenys pallidus,3
202,Criniger verreauxi,13
203,Hemixos campennis,6
204,Hemixos canipennis,5
205,Hemixos castanonotus,15
206,Hemixos castanonotus canipennis,4
207,Hemixos castanotus canipennis,11
208,Hemixos castanotus castanotus,3
209,Hemixos cinereus,16
210,Hemixos connectens,12
211,Hemixos davisoni,1
212,Hemixos flava,1
213,Hemixos flavala,29
214,Hemixos flavala davisoni,3
215,Hemixos grandis,2
216,Hemixos hildebrandti,1
217,Hemixos m. similis,3
218,Hemixos malaccensis,24
219,Hemixos sundara,7
220,Hemixos tickelli,2
221,Hemixos tickelli similis,18
222,Hemixos virescens,40
223,Hemixos virescens sumatranus,17
224,Hypsipetes,3
225,Hypsipetes affinis mystacalis,1
226,Hypsipetes amaurotis,4
227,Hypsipetes amaurotis amaurotis,15
228,Hypsipetes amaurotis harterti,2
229,Hypsipetes amaurotis hensoni,2
230,Hypsipetes amaurotis magnirostris,1
231,Hypsipetes amaurotis squamiceps,1
232,Hypsipetes borbonica,4
233,Hypsipetes charlottae,2
234,Hypsipetes crassirostris,24
235,Hypsipetes everetti,26
236,Hypsipetes everetti catarmanensis,6
237,Hypsipetes everetti everetti,2
238,Hypsipetes everetti haynaldi,1
239,Hypsipetes everetti sararensis,5
240,Hypsipetes flavala,1
241,Hypsipetes ganeesa,2
242,Hypsipetes madagascariensis,26
243,Hypsipetes madagascariensis albiventris,1
244,Hypsipetes madagascariensis madagascariensis,2
245,Hypsipetes madagascariensis psaroides,4
246,Hypsipetes madagascariensis rostrata,14
