Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
120786,29181,Pycnonotidae,MJA 1133,Eurillas,latirostris,Democratic Republic of the Congo,Bas Congo,,Luki Biosphere Reserve,-5.621,13.098,06/26/2012,Alcoholic - 1; Tissue - 100,mature lowland forest,netted,,,,,,,,,no,u,
120787,29206,Pycnonotidae,MJA 1145,Eurillas,latirostris,Democratic Republic of the Congo,Bas Congo,,Luki Biosphere Reserve,-5.621,13.098,06/28/2012,Alcoholic - 1; Tissue - 100,mature lowland forest,netted,,,,,,,,,light on breast,u,
120793,29209,Pycnonotidae,MJA 1148,Bleda,syndactylus,Democratic Republic of the Congo,Bas Congo,,Luki Biosphere Reserve,-5.621,13.098,06/28/2012,Alcoholic - 1; Tissue - 100,mature lowland forest,netted,,,,,,,,,no,u,
120873,29219,Pycnonotidae,MJA 1153,Bleda,syndactylus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/29/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,no,"ovary mass 7 x 4 mm, lg. ovum 1 mm",no,f,100%
120874,29213,Pycnonotidae,CHO 1788,Bleda,syndactylus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/29/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,testes 1 x 1 mm,tail,m,40%
120875,29227,Pycnonotidae,CHO 1795,Bleda,syndactylus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/30/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,3 x 2 mm,light,testes minute,on back,m,50%
120876,29124,Pycnonotidae,MJA 1101,Bleda,notatus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/23/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,testes 2 mm,no,m,100%
120877,29133,Pycnonotidae,CHO 1759,Bleda,notatus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/24/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,testes 1 x 1 mm,no,m,100%
120878,29168,Pycnonotidae,CHO 1771,Bleda,notatus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/25/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,ovary mass 6 x 2 mm,"wings, breast, back, crown",f,100%
120879,29163,Pycnonotidae,MJA 1123,Bleda,notatus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/26/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,8 x 4 mm,no,testes 1 mm,wing,m,50%
120880,29218,Pycnonotidae,CHO 1790,Bleda,notatus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/29/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,testes minute,"belly, crown",m,100%
120881,29184,Pycnonotidae,MJA 1135,Bleda,notatus,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.6215,13.0982,06/27/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,no,testes 2 x 1 mm,no,m,100%
120882,29006,Pycnonotidae,CHO 1707,Bleda,syndactylus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/08/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,testes 6 x 5 mm,no,m,100%
120883,29008,Pycnonotidae,MJA 1035,Bleda,syndactylus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/08/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,,no,"ovary mass 10 x 7 mm, lg. ovum 5 mm, oviduct enlarged",no,f,100%
120884,29013,Pycnonotidae,MJA 1037,Bleda,syndactylus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/09/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,testes 7 x 5 mm,no,m,100%
120885,29035,Pycnonotidae,CHO 1717,Bleda,syndactylus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/10/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,ovary mass 6 x 5 mm,no,f,100%
120886,29010,Pycnonotidae,CHO 1708,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/08/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,3 x 2 mm,light,testes 3 x 1 mm,no,m,70%
120887,29011,Pycnonotidae,MJA 1036,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/08/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,testes 3 x 2 mm,no,m,100%
