Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Criniger chloronotus_95.5.1.675,Pycnonotidae,PASSERIFORMES,7800,95.5.1.675,NHMUK,M,Landana,NA,21.5,12.4,5.4,6.9,23.1,111,15.4,95.6,13.9,97,2,CS,1,0,0
Criniger ndussumensis_1919.10.12.167,Pycnonotidae,PASSERIFORMES,NA,1919.10.12.167,NHMUK,M,NA,NA,18.2,NA,3.7,5,19.2,87,NA,NA,NA,80,1,GT,1,1,0
Criniger ndussumensis_1919.10.12.167,Pycnonotidae,PASSERIFORMES,NA,1919.10.12.167,NHMUK,M,"Panga, Uele",DRC,19.08,10.62,4,4.7,19.52,87,11.29,75.71,NA,80,2,ER,1,1,0
Hemixos leucogrammicus_88.4.1.662,Pycnonotidae,PASSERIFORMES,7840,88.4.1.662,NHMUK,U,-,-,14.8,NA,3.5,4.1,13.8,86,NA,NA,NA,81,1,GT,0,0,0
Hemixos leucogrammicus_88.4.1.662,Pycnonotidae,PASSERIFORMES,7840,88.4.1.662,NHMUK,U,Sumatra,Indonesia,14.1,7.8,3.5,3.8,14.4,85,14.8,70.2,17.4,78,2,CV,1,0,0
Hypsipetes chloris_1969.27.337,Pycnonotidae,PASSERIFORMES,NA,1969.27.337,NHMUK,M,Halmahera,Indonesia,22.5,13.9,5.5,5.9,19.2,98,20.4,77.6,NA,77,1,PW,1,1,0
Hypsipetes chloris_1969.27.337,Pycnonotidae,PASSERIFORMES,NA,1969.27.337,NHMUK,M,Halmahera,Indonesia,21.88,13.39,5.21,5.63,18.67,96.5,18.61,77.89,NA,81,2,ER,1,1,0
Hypsipetes nicobariensis_86.9.1.973,Pycnonotidae,PASSERIFORMES,NA,86.9.1.973,NHMUK,M,NA,NA,23.4,13.7,5,6.2,19.6,100,18.6,81.4,NA,98,1,CS,1,1,0
Hypsipetes nicobariensis_86.9.1.973,Pycnonotidae,PASSERIFORMES,NA,86.9.1.973,NHMUK,M,"Camorta, Nicobar Islands",India,24.12,13.56,4.82,6.08,19.79,97,19.39,77.61,NA,NA,2,ER,1,1,0
Hypsipetes nicobariensis_86.9.1.977,Pycnonotidae,PASSERIFORMES,NA,86.9.1.977,NHMUK,F,NA,NA,21.6,12.1,5.2,6.2,19.6,97,18.3,78.7,NA,92.5,1,CS,1,1,0
Hypsipetes nicobariensis_86.9.1.977,Pycnonotidae,PASSERIFORMES,NA,86.9.1.977,NHMUK,F,Nicobar Islands,India,22.5,13.85,5.03,6,20.07,97,20.25,76.75,NA,87,2,ER,1,1,0
Hypsipetes nicobariensis_88.4.1.280,Pycnonotidae,PASSERIFORMES,NA,88.4.1.280,NHMUK,M,NA,NA,23.1,14.1,5.5,6.4,20.3,100,18.7,81.3,NA,93,1,CS,1,1,0
