Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Hypsipetes nicobariensis_88.4.1.280,Pycnonotidae,PASSERIFORMES,NA,88.4.1.280,NHMUK,M,Nicobar Islands,India,23.66,14.04,5.16,6.23,19.03,100,20.55,79.45,NA,87,2,ER,1,1,0
Hypsipetes siquijorensis_96.6.6.315,Pycnonotidae,PASSERIFORMES,7853,96.6.6.315,NHMUK,F,-,-,28.7,NA,5.3,7.4,23.2,121,NA,NA,NA,112,1,GT,0,0,0
Hypsipetes siquijorensis_96.6.6.315,Pycnonotidae,PASSERIFORMES,7853,96.6.6.315,NHMUK,F,Siquijor,Philippines?,28.4,17.7,5.8,7.6,23.5,120,23,97,19.2,113.5,2,CS,1,0,0
Iole charlottae_1935.10.22.342,Pycnonotidae,PASSERIFORMES,NA,1935.10.22.342,NHMUK,M,NA,NA,21.2,NA,5.1,5.2,18.1,86,NA,NA,NA,77,1,GT,1,1,0
Iole charlottae_1935.10.22.342,Pycnonotidae,PASSERIFORMES,NA,1935.10.22.342,NHMUK,M,"Mt. Dulit, Sarawak",Malaysia,21.45,14.3,4.95,5.05,18.1,84,13,71,NA,70,2,ER,1,1,0
Iole finschii_1936.4.12.1898,Pycnonotidae,PASSERIFORMES,7835,1936.4.12.1898,NHMUK,M,-,-,18.5,NA,5.2,5.9,13.3,86,NA,NA,NA,85,1,GT,0,0,0
Iole finschii_1936.4.12.1898,Pycnonotidae,PASSERIFORMES,7835,1936.4.12.1898,NHMUK,M,"CHANGKAT MENTRI, PERAK, MALAY PENINSULA",MALAYSIA,17.7,11.9,4.7,5.7,15.3,86,16.7,69.3,19.4,69,2,HM,1,0,0
Ixos mcclellandii_1938.7.15.1432,Pycnonotidae,PASSERIFORMES,7846,1938.7.15.1432,NHMUK,M,-,-,26.4,NA,4.6,5.2,16.5,108,NA,NA,NA,113,1,GT,0,0,0
Ixos mcclellandii_1938.7.15.1432,Pycnonotidae,PASSERIFORMES,7846,1938.7.15.1432,NHMUK,M,"Najarjun, Nepal Valley",Nepal,25.9,16,5,5.6,18.2,106,19.9,86.1,18.8,114,2,CS,1,0,0
Microtarsus eutilotus_1935.10.22.343,Pycnonotidae,PASSERIFORMES,NA,1935.10.22.343,NHMUK,F,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,18.4,11.7,5.1,5,17.6,93,16.4,76.6,NA,85,1,JAT,1,1,0
Microtarsus eutilotus_1935.10.22.343,Pycnonotidae,PASSERIFORMES,NA,1935.10.22.343,NHMUK,F,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,18.82,11.73,4.6,4.81,18.7,93,16.5,76.5,NA,85,2,ER,1,1,0
